ET,SX,EX,Episode Title,Rating,Votes,Air Date,Description
189,9,12,Lost in Bikini Bottom/Tutor Sauce,8.0,391,07/16/2015,"Lost in Bikini Bottom: On his way to work, SpongeBob attempts to take a shortcut to get there quicker, only to find himself in an abandoned area of Bikini Bottom, and unable to find his way out. Tutor Sauce: After failing his drivers test, SpongeBob consults Mr. Krabs for driving lessons. Even with the experience Mr. Krabs gained from teaching his daughter, SpongeBob would prove it to be a difficult task for Mr. Krabs to teach him."
190,9,13,Squid Plus One/The Executive Treatment,8.0,359,09/07/2015,"Squid Plus One: Squidward gets invited to a gallery opening and wants to take someone, but can't decide who. The Executive Treatment: Patrick takes on a career of business when he tries to order a special sandwich."
191,9,14,Company Picnic/Pull Up a Barrel,8.0,364,09/18/2015,"Company Picnic: In order to boost morale, Mr. Krabs throws a company picnic - On the same day Plankton is hosting his own. Pull Up a Barrel: It's a stormy day in Bikini Bottom while SpongeBob and Squidward are at work, so Mr. Krabs tells them stories of his days in the Navy."
192,9,15,Sanctuary!/What's Eating Patrick?,7.9,373,10/02/2015,"When stray snails start appearing around Bikini Bottom, SpongeBob decides to care for them himself. To defend Bikini Bottom's honor, Patrick enters a Krabby Patty eating competition."
193,9,16,Patrick! The Game/The Sewers of Bikini Bottom,8.0,384,11/11/2015,"Patrick invents a new board game, and invites SpongeBob, Sandy and Squidward to play it with him. After accidentally flushing Mr. Krabs' safe, SpongeBob and Squidward must go into the sewers to find it."
194,9,17,SpongeBob LongPants/Larry's Gym,7.7,385,02/15/2016,"SpongeBob gets a pair of long pants, but they change his life in unexpected ways. When Larry the Lobster opens a new gym in Bikini Bottom, SpongeBob becomes his best customer."
195,9,18,The Fish Bowl/Married to Money,7.5,344,05/02/2016,"Sandy tries to study SpongeBob and Patrick's behavior, but her science experiment goes horribly awry. Mr. Krabs takes Plankton's advice, and finally marries the only thing he ever loved...money!"
196,9,19,Mall Girl Pearl/Two Thumbs Down,8.1,375,03/12/2016,"In ""Mall Girl Pearl,"" Pearl must find a job to be cool like her friends, but, the only place hiring is the mall's lamest store. In ""Two Thumbs Down,"" SpongeBob loses the use of his thumbs, making his life difficult."
197,9,20,Sharks vs. Pods/CopyBob DittoPants,8.2,352,05/04/2016,"""The Sharks"" are the toughest guys in town, but their next confrontation might be too much for SpongeBob to handle. Plankton clones SpongeBob in an effort to steal Krabs' secret formula, but original Bob might ruin his plans."
198,9,21,Sold!/Lame and Fortune,8.1,327,05/06/2016,"SpongeBob and Patrick see a commercial and believe their houses are sold. The Krusty Krab starts selling fortune cookies, but Plankton decides to use them for his evil schemes."
199,9,22,"Goodbye, Krabby Patty?",8.2,285,02/20/2017,"In order to save money, Mr. Krabs talks to the Ad Executive, Don Grouper, and launches a line of Frozen Krabby Patties."
200,9,23,Sandy's Nutmare/Bulletin Board,8.4,302,07/12/2016,"Sandy creates the latest acorn-based food sensation, but her tree pays the price for her greed. SpongeBob erects a community bulletin board in the Krusty Krab, but anonymous reviews posted on it lead to trouble."
201,9,24,Food Con Castaways/Snail Mail,8.1,273,07/13/2016,"The gang heads to a food convention, but things go awry when they become stranded in the woods. SpongeBob accidentally fibs to his pen pal, but when his friend comes to visit, he must keep the ruse going!"
202,9,25,Pineapple Invasion/Salsa Imbecilicus,8.1,272,06/14/2016,"When SpongeBob hides the secret formula in his home, it's up to Gary to protect it from Plankton. When a freak accident causes everyone in town to become as stupid as Patrick, Sandy must save the day."
203,9,26,Mutiny on the Krusty/The Whole Tooth,8.1,274,10/08/2016,"When the Krusty Krab is blown away by a storm, an insane Mr. Krabs has to guide his employees and customers back to their homes. Patrick is forced to lose his last baby tooth, but he is frightened."
204,10,1,Whirly Brains/MermaidPants,7.6,385,10/15/2016,"SpongeBob and Patrick get hooked on the latest fad - flying your own brain like a tiny drone! When SpongeBob & Patrick play Mermaidman and Barnacleboy, it's all fun and games until their sworn enemies arrive."
205,10,2,Unreal Estate/Code Yellow,8.3,322,06/03/2017,"In order to get SpongeBob to move away, Squidward puts black pepper all over SpongeBob's house to make him think he's allergic to his home; Squidward decides to get a nose job at the hospital, and SpongeBob volunteers as a doctor."
206,10,3,Mimic Madness/House Worming,8.2,406,02/25/2017,"SpongeBob imitates everyone for fun, but it goes too far once SpongeBob gets ""Mocking Mimicry Madness""/A worm named Prickles goes inside SpongeBob, and brings uninvited guests."
207,10,4,Snooze You Lose/Krusty Katering,8.2,414,03/04/2017,"Squidward becomes so tired that SpongeBob and Patrick can't wake him up. However, they will not let him miss his big audition; Mr. Krabs and his crew cater a fancy party, but they might be out of depth with their new wealthy customers."
208,10,5,SpongeBob's Place/Plankton Gets the Boot,8.2,342,03/11/2017,"When SpongeBob cooks at home, Mr. Krabs' customers leave his restaurant and head for SpongeBob's Place. When Plankton gets kicked out of the house, it's up to SpongeBob to teach him how to win his computer wife back."
209,10,6,Life Insurance/Burst Your Bubble,8.3,329,03/18/2017,"A misunderstanding leaves Spongebob and Patrick to think Life Insurance will protect them from any danger; Spongebob blows himself a bubble boat, and Mrs. Puff tries to stop Spongebob."
210,10,7,Plankton Retires/Trident Trouble,8.0,322,03/25/2017,"Plankton decides to close the Chum Bucket and move to a new town, but Mr. Krabs still suspects he is up to something./SpongeBob accidentally picks up King Neptune's magic trident."
211,10,8,The Incredible Shrinking Sponge/Sportz?,7.9,329,12/02/2017,SpongeBob must figure out how to do his job after accidentally shrinking himself; Squidward invents a new sport to get back at SpongeBob and Patrick for annoying him.
212,10,9,The Getaway/Lost and Found,8.2,318,06/10/2017,"When SpongeBob mistakes an escaped convict for his driving instructor, it's the new teacher who learns a lesson; Mr. Krabs sends SpongeBob in search of a missing toy, and SpongeBob finds himself lost in the lost-and-found."
213,10,10,Patrick's Coupon/Out of the Picture,5.1,428,06/17/2017,"Patrick has a coupon for free ice cream, but he has to get to the store if he wants to use it; Mr. Krabs buys Squidward's art, but to make a profit on his purchase, he will have to get the artist out of the picture."
214,10,11,Feral Friends/Don't Wake Patrick,8.2,347,10/07/2017,"A weird moon turns everyone in the city into wild animals, and Sandy is the only one who can save them. Patrick sleepwalks and SpongeBob can't wake him up."
215,11,1,Cave Dwelling Sponge/The Clam Whisperer,7.9,435,09/23/2017,"When a prehistoric Sponge is unfrozen, he causes chaos all over town - and only SpongeBob can communicate with him! When a flock of clams descend on Bikini Bottom, SpongeBob has to get them out before they ruin the whole town!"
216,11,2,Spot Returns/The Check-Up,8.2,337,06/24/2017,"Plankton's pet amoeba Spot has babies and decides to use them in one of his evil schemes/Mr. Krabs has to get a medical exam, but he's too afraid. However, if he doesn't get it, the Krusty Krab will have to be shut down."
217,11,3,Spin the Bottle/There's a Sponge in My Soup,7.9,334,07/16/2017,Plankton poses as a wish-granting genie in his latest scheme to get the secret formula. Mr. Krabs' new Krabby soup is a hit - until some heat-loving hippies move into the soup vat!
218,11,4,Man Ray Returns/Larry the Floor Manager,7.9,422,09/30/2017,"When Man Ray rents Squidward's house for the weekend, it's up to SpongeBob and Patrick to stop his evil vacation! Mr. Krabs takes a vacation and makes Larry the Lobster the temporary manager of the Krusty Krab."
219,11,5,The Legend of Boo-Kini Bottom,8.3,351,10/13/2017,"SpongeBob and friends don costumes and decorate their neighborhood for some Halloween fun, but the spooky Flying Dutchman has other plans."
220,11,6,No Pictures Please/Stuck on the Roof,7.9,310,11/06/2017,"Patrick leads an enthusiastic stranger on a tour of his favorite places in Bikini Bottom; SpongeBob is afraid to get off the roof of the Krusty Krab, but he won't let that stop him from living his life."
221,11,7,Krabby Patty Creature Feature/Teacher's Pests,7.9,348,10/21/2017,"A new secret Krabby Patty formula has disastrous results for Bikini Bottom, and only SpongeBob can save the day. Mr. Krabs and Plankton have to take boating school classes. Thankfully, SpongeBob's there to show them the ropes!"
222,11,8,Sanitation Insanity/Bunny Hunt,7.0,265,11/10/2017,"When Mr. Krabs gets in trouble for littering, he makes SpongeBob and Squidward clean up Bikini Bottom; A sea bunny ravages Squidward's garden, but SpongeBob thinks it's cute."
223,11,9,Squid Noir/Scavenger Pants,8.3,298,11/10/2017,"When Squidward's clarinet disappears, he has to become a hard-boiled detective to track it down; Squidward sends SpongeBob and Patrick on a difficult scavenger hunt to get them out of his hair."
224,11,10,Cuddle E. Hugs/Pat the Horse,6.9,296,12/02/2017,"SpongeBob's new friend is a giant, fluffy hamster that no one else can see; Patrick wants to be a horse."
225,11,11,Chatterbox Gary/Don't Feed the Clowns,7.4,254,02/12/2018,"Gary has a pet translation collar, and he's talking up a storm; When a small clown gets left behind by the circus, SpongeBob takes the hapless harlequin under his wing."
226,11,12,Drive Happy/Old Man Patrick,7.7,254,02/13/2018,"SpongeBob can't drive, but you don't need a license to operate a self-driving car! Patrick thinks he's an old man, so it's up to SpongeBob to remind him how much fun being a kid can be!"
227,11,13,Fun-Sized Friends/Grandmum's the Word,7.4,261,02/15/2018,"SpongeBob and Patrick exchange tiny living versions of themselves. Plankton lies to his grandma, telling her that he owns the Krusty Krab to fulfill a promise he made, but must keep the lie going when she comes to visit."
228,11,14,Doodle Dimension/Moving Bubble Bass,7.7,253,03/09/2018,"SpongeBob and Patrick become trapped in an alternate dimension, where anything they draw comes to life. SpongeBob and Patrick help Bubble Bass move out of his mother's basement."
229,11,15,High Sea Diving/Bottle Burglars,7.6,231,04/13/2018,"SpongeBob wants to be the first sponge that dives to the surface of the ocean. SpongeBob and Squidward accidentally let Plankton slip away with the formula, and it is up to them to retrieve it."
230,11,16,My Leg!/Ink Lemonade,4.9,426,05/09/2018,"Once Fred's leg heals up, SpongeBob is determined to keep it out of harm's way. Patrick's lemonade stand is unsuccessful until he gets a secret ingredient from Squidward."
231,11,17,Mustard O' Mine/Shopping List,7.8,226,05/10/2018,"When the Krusty Krab runs out of mustard, Mr. Krabs sends SpongeBob, Patrick and Squidward to dig up some more. SpongeBob and Sandy have to collect Krabby Patty ingredients, but Plankton follows their every step."
232,11,18,Whale Watching/Krusty Kleaners,8.2,233,08/06/2018,"Mr. Krabs hires Squidward to babysit Pearl for the night, but she just wants to sneak out to a cool teen party; after spilling a milkshake during a delivery, SpongeBob vows to return and clean the entire building."
233,11,19,Patnocchio/ChefBob,6.5,240,08/08/2018,"Plankton tells Patrick he's his conscience so he can convince the wooden-headed star to steal him a Krabby Patty. When Mr. Krabs puts in an open kitchen, SpongeBob gets stage fright and has to invent a new persona."
234,11,20,Plankton Paranoia/Library Cards,6.7,213,09/26/2018,"Plankton hasn't tried to steal the secret formula in a while - and that's making Mr. Krabs nervous. When Patrick discovers the pineapple's library, SpongeBob introduces him to the wonderful world of book learning."
235,11,21,Call the Cops/Surf n' Turf,6.2,214,09/27/2018,"Plankton goes to jail, but the secret formula is taken as evidence, so SpongeBob and Mr. Krabs plot to get it back. Sandy struggles to build a ship-in-a-bottle before a big contest, so SpongeBob calls in a little extra help."
236,11,22,Goons on the Moon,7.9,198,11/25/2018,Sandy takes her Science Scout troop on a trip to the moon.
237,11,23,Appointment TV/Karen's Virus,8.0,210,10/28/2018,"The long-lost episode of Mermaid Man is finally showing on TV, but SpongeBob may not make it home in time to watch. Karen gets a computer virus, and it's up to SpongeBob to get it out of her."
238,11,24,The Grill is Gone/The Night Patty,6.9,223,10/21/2018,"When a gang of kids steal the Krusty Krab's grill, SpongeBob and Mr. Krabs go to extreme lengths to win it back. SpongeBob helps out the Krusty Krab's night shift crew, but the customers crave something creepier than usual."
239,11,25,Bubble Town/Girls' Night Out,6.6,213,11/04/2018,"SpongeBob visits his old friend Bubble Buddy in his new hometown. Sandy invites Karen and Mrs. Puff out for a night on the town, so the ladies decide to blow off some steam."
240,11,26,Squirrel Jelly/The String,7.9,216,11/18/2018,SpongeBob and Patrick have their peaceful day of jellyfishing disturbed by Sandy's competitive nature; SpongeBob pulls a loose string from Squidward's shirt that never seems to end.
